utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,pack_v,pack_a,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T21:47:26.705156Z,141.204,13.8V,0,2247.5,79.449,150.77,263.45,31.01,102.2,00,-3.06,3.9991,3.9977,4.0026,4.9,710FB317,747574747474747474747575757574747474747474747474,384.09,5.4,2.07,13.1,0,0,0,0,0,-38.17,0.0,0.01911,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:47:29.353295Z,143.852,13.8V,0,2247.5,79.449,150.77,263.45,31.01,102.2,00,-3.06,3.999,3.9975,4.0025,5.0,760FB317,747574747474747474747575757574747474747474747474,384.09,5.7,2.19,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:47:31.997156Z,146.496,13.8V,0,2247.5,79.449,150.77,263.45,31.01,102.2,00,-3.06,3.9991,3.9975,4.0025,5.0,710FB317,747574747474747474747575757574747474747474747474,384.09,6.0,2.3,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:47:34.634360Z,149.133,13.8V,0,2247.5,79.449,150.77,263.45,31.01,102.2,00,-2.44,3.9992,3.9977,4.0026,4.9,720FB317,747574747474747474747575757574747474747474747474,384.24,6.3,2.42,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:47:37.279113Z,151.778,13.8V,0,2247.5,79.449,150.77,263.45,31.01,102.2,00,-2.45,3.9991,3.9975,4.0025,5.0,760FB317,747574747474747474747575757574747474747474747474,384.09,5.7,2.19,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:47:39.901690Z,154.4,13.8V,0,2247.5,79.449,150.76,263.45,31.01,102.2,00,-3.06,3.9991,3.9976,4.0025,4.9,710FB317,747574747474747474747575757574747474747474747474,384.24,5.4,2.07,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:47:42.567481Z,157.066,13.8V,0,2247.5,79.449,150.76,263.45,31.01,102.2,00,-3.06,3.9992,3.9977,4.0026,4.9,720FB317,747574747474747474747575757574747474747474747474,383.75,6.6,2.53,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:47:45.213112Z,159.712,13.8V,0,2247.5,79.449,150.76,263.45,31.01,102.2,00,-2.45,3.9992,3.9977,4.0026,4.9,720FB317,747574747474747474747575757574747474747474747474,384.27,5.4,2.08,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:47:47.848838Z,162.347,13.8V,0,2247.5,79.449,150.76,263.45,31.01,102.2,00,-2.45,3.9992,3.9977,4.0026,4.9,720FB317,747574747474747474747575757574747474747474747474,383.75,6.0,2.3,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:47:50.768836Z,165.267,13.8V,0,2247.5,79.449,150.76,263.45,31.01,102.2,00,-2.43,3.9991,3.9976,4.0026,5.0,740FB317,747574747474747474747575757574747474747474747474,383.9,6.0,2.3,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
